"gmap","RFL_CONC","Elevation30m","HeatLoadIndex30m","tmean13c","SoilConductivitymSm","SoilTotalNPercent"
209,20.9,1076,202,15.80000019,44.1694603,0.12175934
209,20.9,1088,213,15.60000038,31.08882523,0.119583808
212,16.8,1153,216,15.39999962,57.25887299,0.079285808
283,43.4,757,223,17.29999924,28.36606789,0.068808645
208,30.1,1075,218,15.89999962,48.59141159,0.07428696
204,31.2,1094,218,15.10000038,46.11811066,0.115153365
200,31.2,1064,217,15.5,38.14798355,0.093222901
190,31.2,998,216,16.10000038,54.53652191,0.110191241
215,30.1,995,207,16.39999962,35.97326279,0.117285483
219,30.1,975,215,16.39999962,78.13021088,0.118605986
186,31,585,217,18.89999962,40.04213715,0.097994685
180,31,541,222,18.79999924,56.84576416,0.113765925
193,31,540,216,18.39999962,46.93706131,0.095678575
202,31,724,218,17.70000076,31.38429832,0.085305236
202,28,753,219,17.5,80.72724915,0.106843255
298,43.4,758,215,17.29999924,25.63160324,0.083868757
208,30.1,1078,218,15.89999962,48.59141159,0.07428696
206,28,752,213,17.5,90.46874237,0.104317829
207,28,926,224,17.20000076,59.47747421,0.095699899
167,24,946,221,17,68.60797882,0.093203887
177,24,916,212,17.29999924,51.20595169,0.080127254
179,24,909,224,17.29999924,85.0291214,0.086439945
183,24,856,223,17.39999962,74.3554306,0.078362808
190,24,920,212,17.29999924,76.97306824,0.098087192
200,24,855,222,17,63.71689987,0.146814972
197,24,853,218,17.29999924,68.20639801,0.152890876
339,43.4,728,219,17.60000038,30.43988991,0.094164819
208,30.1,1090,208,15.89999962,48.59141159,0.07428696
190,24,823,220,17.60000038,57.43453979,0.130938768
332,44.3,676,225,17.60000038,25.0847435,0.086159363
300,44.3,701,218,17.89999962,16.7881813,0.078098446
162,44.3,457,210,18.79999924,32.39341354,0.126750201
128,44.3,442,209,19.10000038,28.0592804,0.129332602
160,44.3,403,226,19.20000076,38.96117783,0.100732133
153,22.7,807,223,17.89999962,109.8327713,0.0504154
143,22.7,882,219,17.70000076,103.1304855,0.053359367
339,43.4,772,222,17.60000038,27.32019424,0.087618463
208,30.1,1084,207,15.89999962,48.59141159,0.07428696
153,22.7,780,221,18.10000038,106.8563766,0.042575158
163,22.7,668,229,17.89999962,110.2726593,0.034724593
177,22.7,835,223,17.20000076,73.6361618,0.070921302
180,35.3,389,213,19.89999962,34.2370224,0.063479289
167,39,367,220,20,31.55698967,0.063472807
87,39,356,215,20,27.51494408,0.066093698
127,39,397,214,19.89999962,20.52354813,0.066887565
275,43.4,773,221,17.29999924,29.43801689,0.069407828
208,30.1,1087,213,15.89999962,48.59141159,0.07428696
176,27.4,1401,209,14,15.01574898,0.169069529
216,20.9,995,219,16.10000038,69.85327148,0.126594841
190,20.9,1104,218,15.5,71.61225891,0.072443783
203,20.9,1192,211,15.10000038,62.93152237,0.066981986
201,16.8,1261,214,14.69999981,40.54124451,0.088745683
192,16.8,1223,217,14.89999962,41.47855377,0.079318978
192,16.3,1174,216,15.19999981,47.25146103,0.071831793
239,43.4,752,221,17.29999924,48.75458908,0.110779777
208,30.1,1079,191,15.89999962,31.65402031,0.072926365
168,13.5,1110,217,15.39999962,49.71860886,0.085644856
180,13.5,1228,224,14.19999981,38.96419907,0.102286689
161,10.1,1231,216,14.19999981,51.73144531,0.144956782
161,10.1,1227,218,14.19999981,51.73144531,0.144956782
186,10.1,1227,207,14.5,40.67601013,0.145688802
148,15.6,1167,202,14.39999962,44.7489624,0.117320396
148,15.6,1174,217,14.39999962,41.65753555,0.123492725
230,15.6,1200,214,14.30000019,48.16119385,0.140979439
224,15.6,1216,217,14.19999981,26.96138,0.104059845
254,15.6,1225,207,14.10000038,44.45355988,0.120900869
229,43.4,763,219,17.20000076,40.24412155,0.092615895
208,30.1,1113,199,15.89999962,31.65402031,0.072926365
193,15.6,1288,217,13.5,36.97490692,0.127116695
286,15.6,1413,217,13,34.61725998,0.147868991
271,15.6,1503,218,12.80000019,27.56949997,0.187817663
271,15.6,1501,214,12.80000019,27.56949997,0.187817663
272,26.5,1354,214,13.19999981,35.08312225,0.110196188
233,18.1,1307,213,13.5,27.89701462,0.114108808
250,18.1,1303,218,13.5,41.34291458,0.134577319
250,18.1,1321,218,13.5,42.69031906,0.137710348
275,18.1,1529,231,12.5,35.70059967,0.200985357
218,43.4,778,219,17.10000038,69.12349701,0.115118586
208,30.1,1111,188,15.89999962,31.65402031,0.072926365
277,18.1,1609,227,12.10000038,25.16963768,0.202481493
264,26.5,1541,220,12.39999962,35.19102097,0.196374595
252,26.5,1384,220,12.89999962,21.15522575,0.133111089
286,26.5,1465,219,12.39999962,23.53816986,0.137938082
286,26.5,1463,219,12.39999962,23.53816986,0.137938082
283,26.5,1608,206,12,15.2444191,0.222556248
253,26.5,1526,216,12.39999962,17.32583809,0.246402875
256,15.6,1555,229,12.39999962,14.29062366,0.245780021
308,26.5,1539,215,12.30000019,16.19021225,0.248419076
252,30.8,1508,205,12.5,13.12110138,0.235880628
313,43.4,729,215,17.10000038,25.28884506,0.106953219
231,30.1,1114,206,15.60000038,31.65402031,0.072926365
232,15.6,1241,217,14,39.37728119,0.138453126
234,15.6,1259,218,14,48.92797089,0.121966861
223,15.6,1234,217,14.19999981,39.71862793,0.120132446
228,15.6,1216,215,14.19999981,36.18872452,0.117097691
232,18.1,1358,213,13.30000019,35.09682465,0.108229019
260,51.5,810,203,17.20000076,25.27614212,0.146830603
209,30.1,1039,216,16.20000076,64.09658051,0.077641219
387,44.3,779,215,17.20000076,14.99854279,0.080308974
280,43.4,697,215,17.10000038,31.27992058,0.105188057
231,30.1,1082,215,15.60000038,24.66641235,0.072320476
224,18.8,1364,232,13.89999962,41.25279999,0.134508684
243,20.1,1438,215,13.10000038,45.62619781,0.12228144
250,18.8,1486,192,13,24.71015739,0.231299162
234,20.1,1359,213,13.69999981,38.32346344,0.126004085
270,51.5,751,218,17.10000038,26.67821121,0.100137956
231,30.1,1113,207,15.60000038,26.60407829,0.071878642
221,11.1,1411,215,13.80000019,48.18885803,0.117286652
207,11.1,1418,215,13.30000019,36.64982605,0.147208989
235,11.1,1478,210,13.19999981,20.20153809,0.231044069
273,11.1,1603,191,12.60000038,11.67232227,0.2609182
273,11.1,1652,211,12.60000038,17.00156212,0.302317977
249,27,1633,218,11.80000019,17.76989174,0.301933646
211,27,1404,216,14.10000038,47.77086639,0.156126082
205,27,1423,210,13.5,47.46140671,0.156653211
275,51.5,717,215,17.10000038,31.49281502,0.10000138
231,30.1,1117,207,15.60000038,26.60407829,0.071878642
183,24.3,1481,193,13.69999981,25.02149773,0.204980552
174,24.3,1420,218,14,47.42275238,0.165123358
179,24.3,1475,200,13.80000019,10.19572735,0.218911439
179,31.6,1440,219,14.19999981,13.70880699,0.223524645
313,26.5,1557,213,12.30000019,25.17103004,0.252628833
317,26.5,1551,218,12.39999962,30.99630165,0.26891911
276,18.8,1481,215,12.69999981,39.27478027,0.146422625
273,20.1,1453,207,13,18.96302795,0.143119514
269,51.5,707,215,17.10000038,34.74901581,0.087946311
231,30.1,1109,210,15.60000038,26.60407829,0.071878642
273,20.1,1436,212,13,33.81160355,0.117020316
254,20.1,1424,214,13.30000019,39.64034653,0.108998969
254,20.1,1424,216,13.10000038,38.93151855,0.119691722
247,20.1,1434,217,13.10000038,46.98052979,0.131395996
192,9,1538,214,12.69999981,23.46853065,0.257280827
173,9,1396,200,14.10000038,18.70486641,0.17209664
328,24.5,1563,214,12.30000019,19.64221001,0.243748412
326,18.8,1573,212,12.39999962,22.07680511,0.24256818
302,20.1,1610,217,12.30000019,12.47758198,0.21976921
268,20.9,1644,209,13.19999981,10.36079121,0.222622588
263,51.5,731,218,16.89999962,40.89172363,0.131917804
231,30.1,1106,217,15.60000038,26.60407829,0.071878642
276,6.9,1423,200,13.39999962,8.191029549,0.207876787
247,6.9,1320,202,14.30000019,14.27377224,0.148711026
247,6.9,1260,202,14.60000038,9.193961143,0.119378708
